product;sell_price;purchase_price;weight;unit_weight;length;width;height;category_id;stock
DODOL SUSU COKELAT SUPER ISI 18;23800;19800;;gr;9;16;;2;2
DODOL SUSU ORIGINAL SUPER ISI 18;23800;19800;;gr;9;16;;2;2
DOVE R.ON SILK DRY 40ML;25500;23000;40;g;;;11;9;2
GOOD TIME DOUB.CHOC 149 GR;27100;23500;149;gr;;;12;6;2
GUNUNG TILU B.HONEY R.BEAN 150GR;82500;75000;150;gr;10;;19;2;2
GUNUNG TILU NATURAL R.BEAN 150GR;93500;85000;150;gr;10;;19;2;2
KAYI KOR.BULGOGI CHIPS 75 GR;18000;0;75;g;14;22;;2;2
KERUPUK SUSU LEMBANG ORI 75 GR;21600;18000;75;gr;20;27;;2;2
KOFFIE TANDJOENG F.WASH 250 GR;69000;60000;250;gr;15;23;;2;2
KOFFIE TANDJOENG NAT.WINEY 250 GR;97800;85000;250;gr;15;23;;2;2
MITU B.WIPES BLOSS B 50'S;7600;6650;;gr;12;19;;9;2
PERMEN SUSU LEMBANG CAPPUCINO;23800;19800;150;gr;14;;24;2;2
SAMBEL CIHUUYY S.JENGKOL 100 GR;29700;27000;;gr;;;;2;2
SIPETEK C.IKAN KEJU 50 GR;12000;10000;50;gr;9;19;;2;2
SIPETEK LAUK K. S TBR UDANG REB 30GR;12000;10000;30;g;9;19;;2;2
Sos karbol classic.p pouch 750 ml;11900;11300;750;gr;15;26;;5;2
AQUA 330ML;2200;1800;330;gr;;;16.5;4;1
DJARUM SUPER MILD 20'S;29100;27700;;gr;2;5;9;8;1
DK KACANG RASA BAWANG 75GR;9600;8400;18;g;9;10;;6;1
DK TICTAC PILUS ORI 90GR;6600;5500;90;gr;13;20;;6;1
EPTILU ANUM CABAI MERAH 45GR BTL;24000;20000;45;gr;;;9;2;1
EPTILU CABAI KERING;34200;28500;;gr;;;;2;1
FISHERMAN LEMON 25 GR;14600;13200;;g;;;;6;1
GUNUNG TILU KOPI BUBUK 100GR;38500;35000;100;gr;8;;18;2;1
GUNUNG TILU PERMEN COFFEE CARAMEL;30000;25000;;gr;8;18;;2;1
KAYI HONEY BUTTER CHIPS 75 GR;18000;0;;gr;;;;2;1
KAYI SWEET CARAMEL CHIPS 75 GR;18000;0;75;gr;15.5;24;;2;1
KERUPUK SUSU LEMBANG GARLIC 75 GR;21600;18000;75;gr;20;27;;2;1
KOFFIE TANDJOENG HONEY 250 GR;80500;70000;250;gr;15;23;;2;1
KOTEX FRESH UNSCENTED 20'S;8500;7700;;gr;6;9;;9;1
Mamypoko pants ext.dry M32;64700;61500;;kg;21;37;;9;1
MITU B.WIPES SOFT CR PINK 40S'S;8900;7600;;gr;11;19;;9;1
PERMEN SUSU LEMBANG JAHE;23800;19800;;gr;;;;2;1
PERMEN SUSU LEMBANG KOMBINASI;23800;19800;150;gr;14;;24;2;1
PERMEN SUSU LEMBANG ORIGINAL;23800;19800;150;gr;14;;24;2;1
SAMBEL CIHUUYY S.BAJAK 100GR;26500;23000;;gr;;;;2;1
SAMBEL CIHUUYY S.PEUTEUY 100GR;29700;27000;;gr;;;;2;1
SAMBEL CIHUUYY S.UDANG T.ASIN 100GR;40700;37000;;gr;;;;2;1
SIPETEK LAUK K ABON I TUNA 30GR;12000;10000;30;gr;9;19;;2;1
SIPETEK LAUK K TERI KENT. 30 GR;12000;10000;30;gr;9;19;;2;1
ZANANA CHIPS C.MILK 80GR;24000;19900;80;gr;15;20;;2;1
ZANANA CHIPS C.TWIST 80GR;24000;19900;80;gr;15;20;;2;1
ZANANA CHIPS G.THAITEA 80GR;24000;19900;80;gr;15;20;;2;1
